,Datum,Schluss DAX,Schluss EURO STOXX 50,Schluss Dow Jones,Schluss SMI,Schluss MSCI World,Schluss FTSE,Schluss ATX,Schluss SDAX,Schluss Tec DAX,Schluss NASDAQ 100,Schluss Nikkei,Schluss Hang Seng,Schluss SHANGHAI STOCK EXCHANGE B SHARES,Schluss Emerging Markets,Schluss Bovespa
0,2003-03-24,2548.37,2124.78,8214.6,4230.7,764.795,3743.3,1157.18,1700.34,337.78,1047.1,8435.07,9108.45,120.8,279.256,11052.0
1,2003-03-25,2636.1,2184.98,8280.2,4263.6,771.798,3762.0,1159.88,1712.51,344.77,1066.57,8238.76,9062.15,119.09,277.982,11248.0
2,2003-03-26,2579.33,2172.64,8229.8,4247.1,770.102,3793.1,1171.04,1717.3,346.33,1066.3,8351.92,9047.09,118.06,278.743,11206.0
3,2003-03-27,2584.05,2132.51,8201.4,4194.5,766.602,3729.1,1166.62,1703.45,340.55,1061.93,8368.67,8872.32,122.61,277.431,11233.0
4,2003-03-28,2520.84,2132.11,8145.7,4207.6,762.954,3708.5,1162.82,1697.9,338.76,1046.72,8280.16,8848.26,121.65,277.317,11396.0
5,2003-03-31,2423.87,2036.86,7992.1,4085.6,748.628,3613.3,1163.11,1694.58,329.52,1018.66,7972.71,8634.45,122.46,272.267,11273.0
6,2003-04-01,2450.19,2067.23,8069.8,4135.5,756.638,3684.8,1167.71,1717.03,338.52,1022.63,7986.72,8596.89,122.8,273.664,11592.0
7,2003-04-02,2589.35,2160.23,8285.0,4272.1,773.24,3753.4,1186.81,1735.56,350.54,1063.46,8069.85,8706.1,122.03,276.152,11872.0
8,2003-04-03,2569.81,2182.97,8240.3,4327.2,771.598,3771.1,1183.09,1731.67,345.81,1064.06,8017.75,8648.1,121.83,277.748,12006.0
9,2003-04-04,2654.07,2223.17,8277.1,4386.2,774.865,3814.4,1189.87,1743.91,345.7,1050.71,8074.12,8822.4,124.67,281.023,12065.0
10,2003-04-07,2808.94,2314.54,8300.4,4490.7,782.854,3935.8,1211.31,1797.94,368.16,1053.28,8249.98,8962.2,123.74,287.198,12135.0
11,2003-04-08,2767.79,2282.24,8298.9,4465.0,778.792,3868.8,1205.21,1798.56,366.56,1046.3,8131.41,8806.6,123.1,285.742,11778.0
12,2003-04-09,2734.1,2279.52,8197.9,4472.8,771.811,3861.4,1197.45,1814.06,368.0,1023.52,8057.61,8636.8,123.6,283.489,11758.0
13,2003-04-10,2697.1,2222.4,8221.3,4374.2,772.938,3803.3,1197.59,1807.84,357.52,1033.14,7980.12,8625.7,122.41,283.683,11591.0
14,2003-04-11,2733.95,2247.47,8203.4,4448.1,770.296,3808.1,1200.02,1823.44,358.57,1026.15,7816.49,8645.6,124.68,284.702,11718.0
15,2003-04-14,2776.78,2273.96,8351.1,4493.4,781.179,3849.4,1196.04,1825.6,359.53,1048.31,7752.1,8533.5,128.43,286.319,11873.0
16,2003-04-15,2834.12,2317.72,8402.3,4605.3,789.094,3916.8,1190.99,1836.0,364.61,1053.08,7838.83,8632.1,130.16,290.737,12043.0
17,2003-04-16,2824.68,2294.95,8257.6,4556.7,782.68,3854.9,1173.64,1842.08,369.61,1054.89,7879.49,8675.1,128.34,294.288,12043.0
18,2003-04-17,2899.78,2324.27,8337.6,4523.7,792.656,3889.2,1177.54,1856.63,373.96,1083.56,7821.9,8579.1,129.0,294.459,12395.0
19,2003-04-22,2960.96,2343.59,8484.9,4531.3,803.888,3917.7,1172.01,1884.84,380.99,1102.44,7790.46,8571.9,124.63,293.879,12452.0
20,2003-04-23,2974.4,2365.97,8515.6,4586.9,810.797,3966.5,1196.49,1917.96,386.93,1112.93,7793.38,8519.6,121.76,294.128,12394.0
21,2003-04-24,2891.62,2310.87,8440.0,4519.1,805.296,3899.0,1204.11,1924.41,382.06,1108.12,7854.57,8442.1,119.3,290.03,12120.0
22,2003-04-25,2838.23,2271.92,8306.3,4475.9,794.409,3870.2,1200.62,1919.33,378.33,1083.19,7699.5,8409.0,118.06,285.768,12126.0
23,2003-04-28,2953.92,2344.02,8471.6,4556.5,806.666,3940.3,1216.56,1936.45,386.38,1107.13,7607.88,8435.0,119.85,287.674,12464.0
24,2003-04-30,2942.04,2324.23,8480.0,4542.7,813.302,3926.0,1229.16,1948.49,389.35,1106.06,7831.42,8717.2,118.61,295.166,12556.0
25,2003-05-02,2986.0,2321.9,8582.6,4516.3,822.498,3952.6,1262.58,1969.41,397.24,1136.51,7907.19,8808.1,118.61,296.707,12832.0
26,2003-05-12,2937.26,2318.0,8726.7,4479.7,839.966,3987.4,1308.97,1986.0,390.46,1160.42,8221.12,9155.5,116.42,305.898,13320.0
27,2003-05-13,2909.95,2312.9,8679.2,4538.6,838.565,3999.9,1307.36,1987.81,393.24,1155.97,8190.26,9119.0,111.22,305.676,13420.0
28,2003-05-14,2926.03,2309.93,8647.8,4546.6,838.027,3975.0,1320.69,1992.85,390.0,1148.14,8244.91,9103.6,113.02,304.999,13459.0
