,close_ts,etheur close_value,btceur close_value,xrpeur close_value,adaeur close_value,dogeeur close_value,neareur close_value,soleur close_value
0,2022-03-19 01:00:00,2537.61,36924.14,0.7163,0.754,0.1051,9.51,79.21
1,2022-03-20 01:00:00,2664.79,37859.61,0.7222,0.772,0.1079,10.277,81.49
2,2022-03-21 01:00:00,2672.06,38233.04,0.7419,0.817,0.1119,10.236,83.6
3,2022-03-22 01:00:00,2595.57,37427.62,0.7311,0.797,0.108,9.639,80.39
4,2022-03-23 01:00:00,2624.68,37245.31,0.7603,0.833,0.1083,9.955,80.46
5,2022-03-24 01:00:00,2694.72,38449.51,0.7599,0.884,0.111,10.049,82.08
6,2022-03-25 01:00:00,2760.95,38999.9,0.7617,1.007,0.118,11.456,86.27
7,2022-03-26 01:00:00,2828.4,40001.2,0.7664,1.029,0.1242,11.612,93.04
8,2022-03-27 01:00:00,2828.63,40397.67,0.7513,1.0,0.1193,11.255,90.02
9,2022-03-28 02:00:00,2868.49,40605.15,0.7598,1.05,0.1239,11.61,92.94
10,2022-03-29 02:00:00,3001.82,42660.21,0.7812,1.078,0.1316,12.051,97.47
11,2022-03-30 02:00:00,3034.1,42897.36,0.7863,1.064,0.1298,11.472,96.32
12,2022-03-31 02:00:00,3069.21,42804.11,0.7736,1.075,0.1301,12.715,100.53
13,2022-04-01 02:00:00,3035.15,42194.91,0.77,1.067,0.1283,12.554,108.27
14,2022-04-02 02:00:00,2967.55,41158.54,0.7377,1.033,0.125,12.148,111.03
15,2022-04-03 02:00:00,3132.79,41966.26,0.7506,1.055,0.1281,13.235,121.97
16,2022-04-04 02:00:00,3121.46,41519.06,0.7471,1.048,0.1258,13.46,120.03
17,2022-04-05 02:00:00,3191.81,42060.39,0.7639,1.075,0.1326,15.502,124.13
18,2022-04-06 02:00:00,3209.33,42478.91,0.7535,1.105,0.1351,15.575,120.48
19,2022-04-07 02:00:00,3126.99,41757.4,0.7484,1.075,0.1586,14.746,116.43
20,2022-04-08 02:00:00,2909.4,39639.84,0.6975,0.966,0.1316,14.005,103.68
21,2022-04-09 02:00:00,2970.41,39989.44,0.7249,1.003,0.1343,16.154,109.14
22,2022-04-10 02:00:00,2940.15,38911.41,0.695,0.944,0.1311,16.117,101.14
23,2022-04-11 02:00:00,3002.15,39389.78,0.7026,0.963,0.1327,16.191,104.08
24,2022-04-12 02:00:00,2945.43,38769.72,0.694,0.945,0.1362,14.482,102.11
25,2022-04-13 02:00:00,2740.32,36355.89,0.6393,0.847,0.1235,14.721,91.65
26,2022-04-14 02:00:00,2799.02,37055.36,0.661,0.882,0.1278,15.296,95.45
27,2022-04-15 02:00:00,2865.09,37798.43,0.664,0.895,0.1285,15.592,96.39
28,2022-04-16 02:00:00,2796.17,36956.11,0.6721,0.863,0.1331,15.276,93.23
29,2022-04-17 02:00:00,2821.11,37629.78,0.7292,0.887,0.1354,14.783,94.13
30,2022-04-18 02:00:00,2836.36,37433.5,0.7239,0.883,0.1331,14.815,94.62
31,2022-04-19 02:00:00,2767.0,36748.49,0.6967,0.848,0.1291,14.417,92.78
32,2022-04-20 02:00:00,2843.23,37959.86,0.7161,0.872,0.1306,15.103,95.24
33,2022-04-21 02:00:00,2877.8,38498.66,0.7184,0.882,0.1322,16.216,100.67
34,2022-04-22 02:00:00,2838.8,38163.9,0.6938,0.863,0.1299,15.33,97.42
35,2022-04-23 02:00:00,2758.86,37428.58,0.6776,0.842,0.1259,14.47,94.11
36,2022-04-24 02:00:00,2749.6,36855.79,0.6663,0.842,0.1263,14.475,93.32
37,2022-04-25 02:00:00,2721.8,36603.37,0.6546,0.823,0.1243,14.227,93.4
38,2022-04-26 02:00:00,2705.22,36535.14,0.6461,0.82,0.122,13.9,91.89
39,2022-04-27 02:00:00,2808.22,37755.76,0.6474,0.8383,0.1478,13.36,94.33
40,2022-04-28 02:00:00,2644.5,35868.8,0.6044,0.7771,0.1296,11.939,90.06
41,2022-04-29 02:00:00,2737.0,37170.87,0.6172,0.795,0.1325,12.2,93.17
42,2022-04-30 02:00:00,2797.39,37853.57,0.6126,0.8036,0.1309,11.804,93.56
43,2022-05-01 02:00:00,2674.05,36629.41,0.5807,0.7639,0.1281,10.727,89.21
44,2022-05-02 02:00:00,2594.43,35805.1,0.5563,0.7189,0.1212,9.854,80.53
45,2022-05-03 02:00:00,2679.57,36486.07,0.5757,0.7488,0.1259,11.23,85.06
46,2022-05-04 02:00:00,2719.41,36667.64,0.585,0.7433,0.1245,11.245,83.31
47,2022-05-05 02:00:00,2647.32,35908.62,0.5757,0.7341,0.1232,11.404,81.78
48,2022-05-06 02:00:00,2770.25,37388.36,0.6083,0.8466,0.1282,12.264,87.42
49,2022-05-07 02:00:00,2610.28,34721.21,0.5681,0.749,0.1218,10.636,80.3
50,2022-05-08 02:00:00,2556.23,34190.2,0.5717,0.7439,0.1214,10.235,77.53
51,2022-05-09 02:00:00,2502.62,33683.41,0.5515,0.722,0.1213,9.879,74.84
52,2022-05-10 02:00:00,2395.06,32363.3,0.5386,0.704,0.1181,10.613,71.81
53,2022-05-11 02:00:00,2112.38,28504.81,0.4619,0.5713,0.0966,8.836,58.89
54,2022-05-12 02:00:00,2226.61,29492.35,0.4883,0.5978,0.1028,9.085,63.52
55,2022-05-13 02:00:00,1973.91,27548.13,0.395,0.4909,0.0806,6.136,48.19
56,2022-05-14 02:00:00,1884.0,27898.27,0.3704,0.4548,0.0795,6.171,42.88
57,2022-05-15 02:00:00,1930.81,28137.66,0.4071,0.5081,0.0851,6.279,47.02
58,2022-05-16 02:00:00,1977.78,28948.46,0.41,0.5164,0.086,6.403,50.47
59,2022-05-17 02:00:00,2063.24,30125.98,0.4302,0.5744,0.0896,7.052,56.51
60,2022-05-18 02:00:00,1938.62,28615.07,0.4057,0.5337,0.0845,6.276,51.54
61,2022-05-19 02:00:00,1981.53,28853.48,0.4146,0.5473,0.0854,6.357,54.05
62,2022-05-20 02:00:00,1826.98,27391.16,0.3877,0.4829,0.0797,5.652,47.65
63,2022-05-21 02:00:00,1907.79,28645.11,0.3964,0.5036,0.0819,5.763,49.24
64,2022-05-22 02:00:00,1856.22,27656.63,0.3886,0.4892,0.0795,5.449,46.88
65,2022-05-23 02:00:00,1869.27,27869.6,0.392,0.5003,0.08,5.807,47.61
66,2022-05-24 02:00:00,1932.56,28648.55,0.399,0.5122,0.0812,5.889,49.62
67,2022-05-25 02:00:00,1847.02,27247.97,0.3787,0.4802,0.0779,5.479,46.0
68,2022-05-26 02:00:00,1844.17,27631.76,0.3805,0.4861,0.078,5.556,46.28
69,2022-05-27 02:00:00,1817.2,27644.53,0.3797,0.4814,0.0776,5.389,44.91
70,2022-05-28 02:00:00,1668.65,27202.59,0.3664,0.446,0.0728,4.873,40.45
71,2022-05-29 02:00:00,1608.71,26664.45,0.356,0.4253,0.0759,4.504,38.38
72,2022-05-30 02:00:00,1671.07,27066.94,0.3599,0.4332,0.0764,4.659,41.27
73,2022-05-31 02:00:00,1690.19,27464.05,0.3626,0.4495,0.077,4.79,41.91
74,2022-06-01 02:00:00,1855.96,29464.68,0.3891,0.5292,0.08176,5.33,43.84
75,2022-06-02 02:00:00,1809.09,29623.86,0.3931,0.5838,0.08008,5.449,42.66
76,2022-06-03 02:00:00,1706.52,27979.59,0.3734,0.5179,0.07612,5.03,37.63
77,2022-06-04 02:00:00,1706.13,28331.83,0.3769,0.5465,0.077,5.206,38.08
78,2022-06-05 02:00:00,1656.46,27716.41,0.3644,0.523,0.075,4.908,35.75
79,2022-06-06 02:00:00,1685.3,27890.0,0.367,0.5299,0.07643,4.976,36.45
80,2022-06-07 02:00:00,1684.62,27906.45,0.3687,0.5293,0.07561,5.122,35.92
81,2022-06-08 02:00:00,1740.17,29348.64,0.3757,0.5707,0.07694,5.067,39.65
